Employer_Name,EIN,State,Participants,Plan_Year,Plan_Name,Self_Insured,Market_Segment
"ACOSTA, INC.",843954764,FL,30624.0,2024,"ACOSTA, INC. 401(K) RETIREMENT PLAN",Y,Large (5K+)
GENUINE PARTS COMPANY,580254510,GA,30561.0,2024,SEVERANCE PLAN,Y,Large (5K+)
BOARD OF TRUSTEES IUEC DEATH BENEFIT PLAN,921046868,MD,30553.0,2024,IUEC DEATH BENEFIT PLAN,Y,Large (5K+)
ELI LILLY AND COMPANY,350470950,IN,30472.0,2024,THE LILLY EMPLOYEE 401(K) PLAN,Y,Large (5K+)
PANERA BREAD COMPANY,42723701,MO,30381.0,2024,PANERA BREAD COMPANY 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
HEWLETT PACKARD ENTERPRISE,473298624,TX,30351.0,2024,HEWLETT PACKARD ENTERPRISE 401(K)PLAN,Y,Large (5K+)
"LITHIA MOTORS, INC.",930572810,OR,30318.0,2024,"LITHIA MOTORS, INC. 401(K) PLAN",Y,Large (5K+)
THE BOARD OF TRUSTEES,136300270,NY,30313.0,2024,INDUSTRY TRAINING PROGRAM AND SCHOLARSHIP FUND,Y,Large (5K+)
"LIFEPOINT HEALTH, INC.",201538254,TN,30263.0,2024,"LIFEPOINT HEALTH, INC. HEALTH BENEFITS PLAN",Y,Large (5K+)
"NATIONAL MENTOR HOLDINGS, LLC",43250732,MN,30048.0,2024,SEVITA 401(K) PLAN,Y,Large (5K+)
"TRAVELERS COMPANIES, INC.",410518860,MN,30032.0,2024,THE TRAVELERS SEVERANCE PLAN,Y,Large (5K+)
ALLEGHENY HEALTH NETWORK,453674924,PA,29979.0,2024,ALLEGHENY HEALTH NETWORK 401(K) PLAN,Y,Large (5K+)
"MCLANE COMPANY, INC.",741478631,TX,29794.0,2024,"MCLANE COMPANY, INC. PROFIT SHARING PLAN",Y,Large (5K+)
"THE PERMANENTE MEDICAL GROUP, INC.",942728480,CA,29643.0,2024,"THE PERMANENTE MEDICAL GROUP, INC. SALARY DEFERRAL PLAN",Y,Large (5K+)
"CONAGRA BRANDS, INC.",470248710,IL,29623.0,2024,CONAGRA BRANDS RETIREMENT INCOME SAVINGS PLAN,Y,Large (5K+)
INOVA HEALTH SYSTEM FOUNDATION,541071867,VA,29551.0,2024,INOVA HEALTH SYSTEM RETIREMENT SAVINGS PLAN,Y,Large (5K+)
TARGET CORPORATION,410215170,MN,29546.0,2024,TARGET CORPORATION TEXAS OCCUPATIONAL INJURY BENEFIT PLAN,Y,Large (5K+)
"LIFE TIME, INC.",411689746,MN,29211.0,2024,LIFE TIME AND ITS AFFILIATES 401(K) PLAN,Y,Large (5K+)
"INSIGHT GLOBAL, LLC",208775560,GA,29038.0,2024,"INSIGHT GLOBAL, LLC 401(K) PLAN",Y,Large (5K+)
"UNIFI AVIATION, LLC",582198841,GA,28876.0,2024,UNIFI AVIATION 401(K) RETIREMENT PLAN,Y,Large (5K+)
NATIONWIDE MUTUAL INSURANCE COMPANY,314177100,OH,28857.0,2024,NATIONWIDE RETIREMENT PLAN - FINAL AVERAGE PAY,Y,Large (5K+)
BOARD OF TRUSTEES OF TEAMSTER CENTER SERVICES FUND,131964856,NY,28787.0,2024,TEAMSTER CENTER SERVICES FUND,Y,Large (5K+)
"AUTONATION, INC.",731105145,FL,28774.0,2024,AUTONATION 401(K) PLAN,Y,Large (5K+)
BOARD OF TRUSTEES - INDIANA LABORERS PENSION FUND,356027150,IN,28651.0,2024,INDIANA LABORERS PENSION FUND,Y,Large (5K+)
"SPROUTS FARMERS MARKETS HOLDINGS, LLC",451076258,AZ,28434.0,2024,"SPROUTS FARMERS MARKETS HOLDINGS, LLC EMPLOYEE 401(K) SAVINGS PLAN",Y,Large (5K+)
TD BANK,10137770,ME,28423.0,2024,"SEVERANCE PLAN FOR EMPLOYEES OF TD BANK, N.A. & ITS SUBSIDIARIES & TD BANK USA, N.A.",Y,Large (5K+)
"MASTEC, INC.",650829355,FL,28293.0,2024,"THE MASTEC, INC. 401(K) RETIREMENT PLAN",Y,Large (5K+)
"NEXTERA ENERGY, INC.",592449419,FL,28207.0,2024,"NEXTERA ENERGY, INC. EMPLOYEE PENSION PLAN",Y,Large (5K+)
UFCW UNION & PARTICIPATING FOOD INDUSTRY EMPLOYERS TRI-STATE PENSION F,236396097,PA,28193.0,2024,UFCW UNION & PARTCIPATING FOOD INDUSTRY EMPLOYERS TRI-STATE PENSION FUND,Y,Large (5K+)
"SCHNEIDER ELECTRIC HOLDINGS, INC.",364141566,IL,28032.0,2024,SCHNEIDER ELECTRIC 401(K) PLAN,Y,Large (5K+)
ASCENSION,453358926,MO,27921.0,2024,ASCENSION MEDICAL EXPENSE FLEXIBLE SPENDING PLAN,Y,Large (5K+)
NAVY FEDERAL CREDIT UNION,530116705,VA,27904.0,2024,NAVY FEDERAL 401(K) SAVINGS PLAN,Y,Large (5K+)
STERLING JEWELERS INC.,273967537,OH,27844.0,2024,SIGNET JEWELERS RETIREMENT SAVINGS PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF GC-NPF,526118568,IL,27833.0,2024,GRAPHIC COMMUNICATIONS NATIONAL PENSION FUND,Y,Large (5K+)
ALLSTATE INS CO,360719665,TX,27778.0,2024,ALLSTATE SEVERANCE PAY PLAN,Y,Large (5K+)
DISCOVER FINANCIAL SERVICES,362517428,IL,27661.0,2024,DISCOVER FINANCIAL SERVICES 401K PLAN,Y,Large (5K+)
SERVICE CORPORATION INTL,741488375,TX,27628.0,2024,THE SCI 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"MARS, INCORPORATED",221594774,NJ,27552.0,2024,U. S. RETIREMENT PLAN,Y,Large (5K+)
KEURIG DR PEPPER INC.,980517725,TX,27542.0,2024,KEURIG DR PEPPER 401(K) PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF THE CCPOA LEGAL DEFENSE FUND,686072830,CA,27468.0,2024,CCPOA LEGAL DEFENSE FUND,Y,Large (5K+)
"BOARD OF TRUSTEES, SOUTHERN CALIFORNIA UNITED FOOD",516029925,CA,27427.0,2024,SOUTHERN CALIFORNIA UNITED FOOD AND COMMERCIAL WORKERS UNIONS AND DRUG EMPLOYERS PENSION FUND,Y,Large (5K+)
"BAPTIST HEALTH SOUTH FLORIDA, INC.",650267668,FL,27385.0,2024,"BAPTIST HEATH SOUTH FLORIDA, INC. WELLNESS PLAN",Y,Large (5K+)
TTEC SERVICES CORPORATION,841366615,CO,27382.0,2024,TTEC 401(K) PROFIT SHARING PLAN,Y,Large (5K+)
ADT LLC,454343781,FL,27305.0,2024,ADT SECURITY CORPORATION RETIREMENT SAVINGS AND INVESTMENT PLAN,Y,Large (5K+)
"RED LOBSTER RESTAURANTS, LLC",994248027,FL,27299.0,2024,RED LOBSTER 401(K) PLAN,Y,Large (5K+)
THE BOARD OF TRUSTEES,134178178,NY,27142.0,2024,"NEW YORK HOTEL TRADES COUNCIL & HOTEL ASSOCIATION OF NEW YORK CITY, INC. 401K SAVINGS PLAN",Y,Large (5K+)
MERCK SHARP & DOHME LLC,221261880,NJ,27075.0,2024,MSD SEPARATION BENEFIT ALLOWANCE PLAN,Y,Large (5K+)
"THE VANGUARD GROUP, INC.",231945930,PA,27024.0,2024,THE VANGUARD RETIREMENT AND SAVINGS PLAN,Y,Large (5K+)
EXELON CORPORATION,232990190,IL,26956.0,2024,EXELON CORPORATION EMPLOYEE SAVINGS PLAN,Y,Large (5K+)
"ZACHRY HOLDINGS, INC.",261256814,TX,26941.0,2024,ZHI 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"SAP AMERICA, INC.",363556041,PA,26827.0,2024,"SAP AMERICA, INC. 401(K) PLAN",Y,Large (5K+)
"ARDENT HEALTH PARTNERS, INC.",621743438,TN,26722.0,2024,ARDENT HEALTH SERVICES RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"RECREATIONAL EQUIPMENT, INC.",910656890,WA,26604.0,2024,"RECREATIONAL EQUIPMENT, INC. RETIREMENT AND PROFIT SHARING PLAN",Y,Large (5K+)
"MEDLINE INDUSTRIES,LP",362596612,IL,26599.0,2024,"MEDLINE INDUSTRIES, LP RETIREMENT PLAN",Y,Large (5K+)
BOARD OF TRUSTEES OF LUCENT SUPPLEMENTAL BENEFITS TRUST FOR FORMERLY R,206673883,NJ,26366.0,2024,LUCENT SUPPLEMENTAL HEALTHCARE BENEFITS PLAN FOR FORMERLY REPRESENTED RETIREES,Y,Large (5K+)
"COMBINED LAW ENFORCEMENT ASSOC. OF TEXAS, INC.",741874446,TX,26308.0,2024,CLEAT GROUP LEGAL SERVICES PLAN II,Y,Large (5K+)
"CENTRAL PENNSYLVANIA TEAMSTERS PENSION FUND, TRUSTEES",236262789,PA,26221.0,2024,CENTRAL PENNSYLVANIA TEAMSTERS DEFINED BENEFIT PLAN,Y,Large (5K+)
CHRISTUS HEALTH,760590551,TX,26214.0,2024,CHRISTUS HEALTH TEXAS OCCUPATIONAL INJURY ASSISTANCE PLAN,Y,Large (5K+)
FIFTH THIRD BANCORP,310854434,OH,26188.0,2024,FIFTH THIRD BANCORP 401(K) SAVINGS PLAN,Y,Large (5K+)
SONY CORPORATION OF AMERICA,131914734,NY,26151.0,2024,SONY USA 401(K) PLAN,Y,Large (5K+)
"CORTEVA AGRISCIENCE, LLC",351781118,DE,26098.0,2024,RETIREMENT SAVINGS PLAN,Y,Large (5K+)
TRUSTEES UFCW LOCAL 1262 PENSION FUND,226074414,NJ,26006.0,2024,UFCW LOCAL 1262 & EMPLOYERS PENSION FUND,Y,Large (5K+)
WILLIS TOWERS WATSON US LLC,530181291,VA,25967.0,2024,WILLIS TOWERS WATSON SAVINGS PLAN FOR U.S. EMPLOYEES,Y,Large (5K+)
PARAMOUNT GLOBAL,42949533,NY,25963.0,2024,CBS COMBINED PENSION PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF ST. LOUIS KANSAS CITY CARPENTERS REGIONAL ANNUITY,371942230,MO,25719.0,2024,ST. LOUIS-KANSAS CITY CARPENTERS REGIONAL ANNUITY,Y,Large (5K+)
NATIONAL CARRIERS' CONFERENCE COMMITTEE,521036399,VA,25696.0,2024,THE MAINTENANCE OF WAY EMPLOYEES SUPPLEMENTAL SICKNESS BENEFIT PLAN,Y,Large (5K+)
PERATON CORP.,815224276,VA,25685.0,2024,PERATON CORP. RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"BOARD OF TRUSTEES, DIRECTORS GUILD OF AMERICA -",956027308,CA,25514.0,2024,DIRECTORS GUILD OF AMERICA - PRODUCER PENSION PLAN SUPPLEMENTAL BENEFIT PLAN,Y,Large (5K+)
DXC TECHNOLOGY COMPANY,611800317,VA,25505.0,2024,DXC TECHNOLOGY MATCHED ASSET PLAN,Y,Large (5K+)
"HEARTLAND DENTAL, LLC",10854205,IL,25499.0,2024,HEARTLAND DENTAL 401K AND STOCK PARTICIPATION PLAN,Y,Large (5K+)
"WINCO HOLDINGS, INC.",820290448,ID,25429.0,2024,WINCO EMPLOYEE STOCK OWNERSHIP PLAN,Y,Large (5K+)
AMERICAN EXPRESS COMPANY AND ITS PARTICIPATING SUBSIDIARIES,134922250,NY,25394.0,2024,AMERICAN EXPRESS SEVERANCE PAY PLAN,Y,Large (5K+)
ENVISION HEALTHCARE OPERATING INC.,934099984,TN,25230.0,2024,ENVISION HEALTHCARE OPERATING INC. 401(K) PLAN,Y,Large (5K+)
"BOARD OF TRUSTEES,CONSTRUCTION LABORERS VACATION TRUST FOR SOUTHERN CA",956135795,CA,25127.0,2024,CONSTRUCTION LABORERS VACATION FOR SOUTHERN CALIFORNIA,Y,Large (5K+)
BOARD OF TRUSTEES I.A.T.S.E. NATIONAL PENSION FUND,131849172,NY,25113.0,2024,I. A. T. S. E. NATIONAL PENSION FUND,Y,Large (5K+)
"CLAYTON HOMES, INC.",621671360,TN,25014.0,2024,"CLAYTON HOMES, INC. 401(K) RETIREMENT PLAN",Y,Large (5K+)
MARRIOTT VACATIONS WORLDWIDE CORP.,452598330,FL,24960.0,2024,MARRIOTT VACATIONS WORLDWIDE CORP. 401(K),Y,Large (5K+)
"BOARD OF TRUSTEES, LOS ANGELES HOTEL-RESTAURANT",956098404,CA,24960.0,2024,LOS ANGELES HOTEL-RESTAURANT EMPLOYER-UNION RETIREMENT FUND,Y,Large (5K+)
"PRUITTHEALTH, INC.",581295697,GA,24927.0,2024,"PRUITTHEALTH, INC. EMPLOYEES 401(K) PLAN AND HERO FUND",Y,Large (5K+)
"MEDICAL SOLUTIONS, L.L.C.",912184792,NE,24856.0,2024,MEDICAL SOLUTIONS 401(K) PLAN,Y,Large (5K+)
"PETER KIEWIT SONS, INC.",911842817,NE,24833.0,2024,"PETER KIEWIT SONS, INC. RETIREMENT SAVINGS PLAN",Y,Large (5K+)
GAP INC.,941697231,CA,24824.0,2024,"THE GAP, INC. STANDARD TRANSITION BENEFITS PLAN",Y,Large (5K+)
HUNTINGTON BANCSHARES INCORPORATED,310724920,OH,24734.0,2024,THE HUNTINGTON 401(K) PLAN,Y,Large (5K+)
EATON CORPORATION,340196300,OH,24704.0,2024,EATON CORPORATION SEVERANCE PLAN,Y,Large (5K+)
SEPHORA USA INC.,943322407,CA,24602.0,2024,SEPHORA RETIREMENT PLAN,Y,Large (5K+)
"FIDELITY NATIONAL FINANCIAL, INC.",161725106,FL,24507.0,2024,THE FIDELITY NATIONAL FINANCIAL GROUP 401(K) PROFIT SHARING PLAN,Y,Large (5K+)
"SAFELITE GROUP, INC.",311725961,OH,24465.0,2024,SAFELITE GROUP ASSOCIATES' RETIREMENT SAVINGS PLAN,Y,Large (5K+)
AMERICAN NATIONAL RED CROSS,530196605,DC,24433.0,2024,AMERICAN RED CROSS SAVINGS PLAN,Y,Large (5K+)
"ODP INTERNATIONAL, LLC",872687219,FL,24319.0,2024,THE ODP CORPORATION RETIREMENT SAVINGS PLAN,Y,Large (5K+)
KOHLER CO. & SUBSIDIARIES,390402810,WI,24292.0,2024,KOHLER CO. PENSION PLAN,Y,Large (5K+)
"HEALTH CARE SERVICE CORPORATION, A MUTUTAL LEGAL RESERVE CO.",361236610,TX,24258.0,2024,THE HCSC EMPLOYEE PENSION PLAN,Y,Large (5K+)
"HEALTHCARE SERVICE CORPORATION, A MUTUTAL LEGAL RESERVE CO.",361233610,TX,24258.0,2024,THE HCSC EMPLOYEE PENSION PLAN,Y,Large (5K+)
"PPG INDUSTRIES, INC.",250730780,PA,24217.0,2024,"PPG INDUSTRIES, INC. EMPLOYEE SAVINGS PLAN",Y,Large (5K+)
"BIG LOTS, INC.",61119097,OH,24093.0,2024,BIG LOTS SAVINGS PLAN,Y,Large (5K+)
"MORGAN STANLEY DOMESTIC HOLDINGS, LLC",208764829,NY,24055.0,2024,MORGAN STANLEY EMPLOYEES RETIREMENT PLAN,Y,Large (5K+)
M&T BANK CORPORATION,160968385,NY,23886.0,2024,M&T CORPORATION EMPLOYEE SEVERANCE PAY PLAN,Y,Large (5K+)
"AMEDISYS HOLDING, LLC",364576454,LA,23832.0,2024,"AMEDISYS HOLDING, LLC 401(K) PLAN",Y,Large (5K+)
ABBOTT LABORATORIES,360698440,IL,23757.0,2024,ABBOTT - ABBVIE MULTIPLE EMPLOYER PENSION PLAN,Y,Large (5K+)
"ORACLE AMERICA, INC.",942805249,CA,23737.0,2024,"ORACLE AMERICA, INC. SEVERANCE PAY PLAN",Y,Large (5K+)
"WEIS MARKETS, INC.",240755415,PA,23710.0,2024,"WEIS MARKETS, INC. RETIREMENT SAVINGS PLAN",Y,Large (5K+)
"UNIVERSAL CITY DEVELOPMENT PARTNERS, LTD UNIVERSAL ORLANDO",593128514,FL,23662.0,2024,UNIVERSAL ORLANDO 401(K) RETIREMENT PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF THE CARPENTERS & JOINERS DEFINED CONTRIBUTION PLA,411824896,MN,23620.0,2024,CARPENTERS & JOINERS DEFINED CONTRIBUTION PLAN,Y,Large (5K+)
QUALCOMM INCORPORATED,953685934,CA,23606.0,2024,QUALCOMM INCORPORATED EMPLOYEE SAVINGS AND RETIREMENT PLAN,Y,Large (5K+)
"BOARD OF TRUSTEES, NORTHWEST CARPENTERS INDIVIDUAL ACCOUNT PENSION PLA",911160641,CA,23478.0,2024,NORTHWEST CARPENTERS INDIVIDUAL ACCOUNT PENSION PLAN,Y,Large (5K+)
AUTOMOBILE CLUB OF SO CALIFORNIA,950514585,CA,23474.0,2024,CLUB PENSION PLAN,Y,Large (5K+)
CHILDREN'S HOSPITAL MEDICAL CENTER,310833936,OH,23472.0,2024,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,Y,Large (5K+)
VF CORPORATION,231180120,NC,23432.0,2024,VF 401K SAVINGS PLAN,Y,Large (5K+)
ACADEMY SPORTS & OUTDOORS,741670067,TX,23421.0,2024,"ACADEMY, LTD. 401(K) PROFIT SHARING PLAN",Y,Large (5K+)
"US FOODS, INC.",363642294,IL,23364.0,2024,"US FOODS, INC. SEVERANCE PLAN",Y,Large (5K+)
"URBAN OUTFITTERS, INC.",232003332,PA,23336.0,2024,"URBAN OUTFITTERS, INC. 401(K) SAVINGS PLAN",Y,Large (5K+)
"MOLINA HEALTHCARE, INC.",134204626,CA,23181.0,2024,MOLINA SALARY SAVINGS PLAN,Y,Large (5K+)
"WILLIAMS-SONOMA, INC.",942203880,CA,22994.0,2024,"WILLIAMS-SONOMA, INC. 401(K) PLAN",Y,Large (5K+)
"NEXSTAR MEDIA GROUP, INC.",233083125,TX,22984.0,2024,"NEXSTAR MEDIA GROUP, INC. 401(K) PLAN",Y,Large (5K+)
"TEAM TAG SERVICES, LLC",881639559,NY,22973.0,2024,TAG THE ASPEN GROUP 401(K) PLAN,Y,Large (5K+)
PRECISION CASTPARTS CORP.,930460598,OR,22953.0,2024,PRECISION CASTPARTS CORP. 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
WSP USA BUILDINGS INC.,131730785,NY,22904.0,2024,WSP USA RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"IN-N-OUT BURGER, INC.",952246829,CA,22896.0,2024,IN-N-OUT BURGER ASSOCIATES' PROFIT SHARING PLAN,Y,Large (5K+)
"ROCK HOLDINGS, INC.",510415135,MI,22852.0,2024,ROCK HOLDINGS & ASSOCIATED COMPANIES SAVINGS PLAN,Y,Large (5K+)
"OAK VIEW GROUP, LLC",371786932,PA,22658.0,2024,OAK VIEW GROUP 401(K) PLAN,Y,Large (5K+)
PITNEY BOWES INC.,60495050,CT,22622.0,2024,PITNEY BOWES PENSION PLAN,Y,Large (5K+)
"XPO CNW, INC.",941444798,OR,22519.0,2024,XPO PENSION PLAN,Y,Large (5K+)
"GENENTECH, INC.",942347624,CA,22471.0,2024,U.S. ROCHE TRANSITIONAL BENEFITS PLAN,Y,Large (5K+)
"BAE SYSTEMS, INC.",223537950,VA,22437.0,2024,BAE SYSTEMS SEVERANCE PLAN,Y,Large (5K+)
"MOTOROLA SOLUTIONS, INC.",361115800,IL,22422.0,2024,MSI PENSION PLAN,Y,Large (5K+)
TEXAS HEALTH RESOURCES,752702388,TX,22315.0,2024,TEXAS HEALTH EMPLOYEE ASSISTANCE PROGRAM,Y,Large (5K+)
GLAXOSMITHKLINE LLC,231099050,PA,22305.0,2024,GSK 401(K) PLAN,Y,Large (5K+)
F BERNARD-A MILLER SCHOLARSHIP TRUST FUND,521701504,MD,22242.0,2024,FLORENCE BERNARD - ALTA MILLER SCHOLARSHIP TRUST FUND,Y,Large (5K+)
"NISSAN NORTH AMERICA, INC.",952108010,TN,22188.0,2024,NISSAN EMPLOYEE 401(K) PLAN,Y,Large (5K+)
BOARD OF TRUSTEES CWA/ITU NEGOTIATED PENSION PLAN,136212879,NJ,22186.0,2024,CWA/ITU NEGOTIATED PENSION PLAN,Y,Large (5K+)
BAKER HUGHES HOLDINGS LLC,760207995,TX,22138.0,2024,BAKER HUGHES COMPANY PENSION PLAN,Y,Large (5K+)
"BELK STORES SERVICES, LLC",560616731,NC,22118.0,2024,BELK 401K SAVINGS PLAN,Y,Large (5K+)
"FOOT LOCKER, INC.",133513936,NY,22062.0,2024,FOOT LOCKER 401(K) PLAN,Y,Large (5K+)
AMERICAN BUILDERS & CONTRACTORS SUPPLY CO INC,391413708,WI,22014.0,2024,ABC SUPPLY COMPANY EMPLOYEES' SAVINGS & RETIREMENT PLAN,Y,Large (5K+)
HIGHMARK HEALTH,453674900,PA,21974.0,2024,HIGHMARK INVESTMENT PLAN,Y,Large (5K+)
SOUTHERN CALIFORNIA EDISON COMPANY,951240335,CA,21949.0,2024,THE SOUTHERN CALIFORNIA EDISON COMPANY RETIREMENT PLAN,Y,Large (5K+)
"NTT DATA AMERICAS, INC.",42437166,TX,21906.0,2024,NTT DATA AMERICAS 401(K) PLAN,Y,Large (5K+)
"GXO ENTERPRISE SERVICES, LLC",862098312,CT,21900.0,2024,GXO LOGISTICS 401(K) PLAN,Y,Large (5K+)
CHUBB INA HOLDINGS INC. (FORMERLY ACE INA HOLDINGS INC.),952371728,PA,21847.0,2024,CHUBB US 401(K) PLAN,Y,Large (5K+)
TRUSTEES OF I.B. OF T. UNION LOCAL 710 PENSION FUND,362377656,IL,21834.0,2024,INTERNATIONAL BROTHERHOOD OF TEAMSTERS UNION LOCAL 710 PENSION FUND,Y,Large (5K+)
TRUSTEES OF MASSACHUSETTS SERVICE EMPLOYEES' PENSION FUND,46344921,NY,21789.0,2024,MASSACHUSETTS SERVICE EMPLOYEES' PENSION FUND,Y,Large (5K+)
"RAISING CANE'S USA, LLC",721464965,TX,21777.0,2024,RAISING CANE'S RETIREMENT SAVINGS PLAN,Y,Large (5K+)
GENERAL DYNAMICS CORPORATION,131673581,VA,21728.0,2024,GENERAL DYNAMICS CORPORATION 401(K) PLAN FOR REPRESENTED EMPLOYEES,Y,Large (5K+)
BOARD OF TRUSTEES UFCW-GIANT EXCESS SUPPLEMENTAL BENEFIT FYBD,862133718,MD,21705.0,2024,UFCW- GIANT EXCESS SUPPLEMENTAL BENEFIT FUND,Y,Large (5K+)
"MARMON HOLDINGS, INC",363104690,IL,21659.0,2024,MARMON EMPLOYEES' RETIREMENT PLAN,Y,Large (5K+)
"DAVE & BUSTER'S, INC.",431532756,TX,21605.0,2024,DAVE & BUSTER'S 401(K) SAVINGS PLAN,Y,Large (5K+)
"RSM US, LLP",420714325,IA,21555.0,2024,THE RSM US LLP RETIREMENT PLAN,Y,Large (5K+)
"AMERICAN INTERNATIONAL GROUP, INC.",132592361,NY,21514.0,2024,"AMERICAN INTERNATIONAL GROUP, INC. INCENTIVE SAVINGS PLAN",Y,Large (5K+)
GEORGIA-PACIFIC LLC,930432081,GA,21461.0,2024,GEORGIA-PACIFIC LLC 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
CSLB HOLDINGS INC.,800120293,PA,21447.0,2024,CSLB HOLDINGS INC. 401(K) PLAN,Y,Large (5K+)
"INDEED FLEX, INC.",850568068,TX,21443.0,2024,INDEED RECRUITING SOLUTIONS 401(K) PROFIT-SHARING PLAN TRUST,Y,Large (5K+)
"R&L CARRIERS, INC.",311423221,OH,21438.0,2024,"R&L CARRIERS, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Large (5K+)
THOMSON REUTERS HOLDINGS INC.,61497995,MN,21385.0,2024,THOMSON REUTERS 401(K) SAVINGS PLAN,Y,Large (5K+)
"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",133317783,CT,21269.0,2024,THE HARTFORD RETIREMENT PLAN FOR U.S. EMPLOYEES,Y,Large (5K+)
"XPO LOGISTICS, INC.",30450326,OR,21193.0,2024,"XPO LOGISTICS, INC 401(K) PLAN",Y,Large (5K+)
RELX INC.,521471842,NY,21162.0,2024,RELX INC. US SALARY INVESTMENT PLAN,Y,Large (5K+)
SCRIPPS HEALTH,951684089,CA,21120.0,2024,SCRIPPS HEALTH RETIREMENT SAVINGS PLAN,Y,Large (5K+)
GREATER PENNSYLVANIA CARPENTERS' ANNUITY AND SAVINGS FUND,256107170,PA,21100.0,2024,GREATER PENNSYLVANIA CARPENTERS' ANNUITY AND SAVINGS FUND,Y,Large (5K+)
BOARD OF TRUSTEES OF THE AMALGAMATED TRANSIT UNION,522059290,IL,21095.0,2024,AMALGAMATED TRANSIT UNION NATIONAL 401(K) PENSION PLAN,Y,Large (5K+)
FASTENAL COMPANY & SUBSIDIARIES,410948415,MN,21059.0,2024,FASTENAL COMPANY & SUBSIDIARIES 401(K) AND EMPLOYEE STOCK OWNERSHIP PLAN,Y,Large (5K+)
"LA PETITE ACADEMY, INC.",431243221,MI,21025.0,2024,LEARNING CARE GROUP RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"FARMERS GROUP, INC.",950725935,CA,21021.0,2024,"FARMERS GROUP, INC. SEVERANCE PLAN",Y,Large (5K+)
"PROMEDICA HEALTH SYSTEM, INC.",341517671,OH,21014.0,2024,"PROMEDICA HEALTH SYSTEM, INC. 401(K) PLAN",Y,Large (5K+)
PENSION PLAN OF LOCAL 464A,226051600,NJ,21010.0,2024,PENSION PLAN OF LOCAL 464A,Y,Large (5K+)
INTERNATIONAL PAPER COMPANY,130872805,TN,21009.0,2024,INTERNATIONAL PAPER COMPANY SALARIED SAVINGS PLAN,Y,Large (5K+)
UNIVERSITY OF ROCHESTER,160743209,NY,20945.0,2024,SEVERANCE PAY FOR STAFF OF THE UNIVERSITY OF ROCHESTER,Y,Large (5K+)
"JO-ANN STORES, LLC",340720629,OH,20902.0,2024,"JO-ANN STORES, LLC 401(K) SAVINGS PLAN",Y,Large (5K+)
NEWELL OPERATING COMPANY,361953130,GA,20882.0,2024,NEWELL BRANDS EMPLOYEE SAVINGS PLAN,Y,Large (5K+)
RUSH UNIVERSITY MEDICAL CENTER,362174823,IL,20875.0,2024,RUSH UNIVERSITY MEDICAL CENTER 403(B) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
AVAGO TECHNOLOGIES U.S. INC.,203387670,CA,20820.0,2024,BROADCOM U.S. 401(K) PLAN,Y,Large (5K+)
ADOBE INC.,770019522,CA,20783.0,2024,ADOBE INC. 401(K) RETIREMENT SAVINGS PLAN,Y,Large (5K+)
"FEDEX OFFICE AND PRINT SERVICES, INC.",770433330,TX,20735.0,2024,"FEDEX OFFICE AND PRINT SERVICES, INC. 401(K) RETIREMENT SAVINGS PLAN",Y,Large (5K+)
PARSONS CORPORATION,953232481,CA,20672.0,2024,PARSONS EMPLOYEE STOCK OWNERSHIP PLAN,Y,Large (5K+)
BOARD OF TRUSTEES OF MINNESOTA LABORERS PENSION FUND,416159599,MN,20657.0,2024,MINNESOTA LABORERS PENSION FUND,Y,Large (5K+)
"DOLLAR TREE STORES, INC.",541387365,VA,20464.0,2024,DOLLAR TREE WORK INJURY BENEFIT PLAN,Y,Large (5K+)
TA OPERATING LLC,341747077,OH,20441.0,2024,TA OPERATING LLC 401(K) SAVINGS PLAN,Y,Large (5K+)
"VS SERVICE COMPANY, LLC",311228823,OH,20422.0,2024,VICTORIA'S SECRET & CO. 401(K) SAVINGS AND RETIREMENT PLAN,Y,Large (5K+)
BARCLAYS SERVICES CORPORATION,133714398,NY,20416.0,2024,BARCLAYS 401(K) PLAN,Y,Large (5K+)
BOARD OF TRUSTEES MASON TENDERS DISTRICT COUNCIL ANNUITY FUND,136358540,NY,20398.0,2024,MASON TENDERS DISTRICT COUNCIL ANNUITY FUND,Y,Large (5K+)
FOUR SEASONS HOTELS LIMITED PENSION & PROFIT SHARING COMMITTEE,980057100,,20390.0,2024,FOUR SEASONS HOTELS RETIREMENT BENEFIT PLAN,Y,Large (5K+)
